number	reason	partner_url
3947	state	https://github.com/ubiquity-os-marketplace/command-config/issues/23
3948	state	https://github.com/ubiquity/ubiquity-dollar/issues/927
3949	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/92
3950	state	https://github.com/ubiquity-os/plugins-wishlist/issues/46
3951	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/422
3952	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/93
3953	state	https://github.com/ubiquity/ubiquity-dollar/issues/937
3954	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/223
3955	state	https://github.com/ubiquity-os/plugins-wishlist/issues/48
3956	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/94
3957	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/260
3958	state	https://github.com/ubiquity/ubiquity-dollar/issues/972
3959	state	https://github.com/ubiquity-os/plugins-wishlist/issues/49
3960	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/108
3961	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/271
3962	state	https://github.com/ubiquity/ubiquity-dollar/issues/984
3963	state	https://github.com/ubiquity-os/plugins-wishlist/issues/64
3964	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/111
3965	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/295
3966	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/296
3967	state	https://github.com/ubiquity-os/plugins-wishlist/issues/70
3968	state	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/329
3969	state	https://github.com/ubiquity-os/plugins-wishlist/issues/75
3970	state	https://github.com/ubiquity-os-marketplace/daemon-disqualifier/issues/91
3971	state	https://github.com/ubiquity-os/ubiquity-os-plugin-installer/issues/43
3972	state	https://github.com/ubiquity-os/deno-deploy/issues/10
3973	state	https://github.com/ubiquity-os/permit-generation/issues/6
3974	state	https://github.com/ubiquity/ubq.fi-router/issues/6
3975	state	https://github.com/ubiquity-os/plugin-template/issues/13
3976	state	https://github.com/ubiquity-os/ubiquity-os-logger/issues/57
3977	state	https://github.com/ubiquity-os/.github/issues/10
3978	state	https://github.com/ubiquity-os/ubiquity-os-logger/issues/59
3979	state	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/176
3980	state	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/106
3981	state	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/154
3982	state	https://github.com/ubiquity-os/command-demo/issues/15
3983	state	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/133
3984	state	https://github.com/ondecentral/Lucia-SDK-Experimental/issues/17
3985	state	https://github.com/devpool-directory/devpool-directory-tasks/issues/64
3986	state	https://github.com/devpool-directory/devpool-directory-tasks/issues/63
3987	state	https://github.com/ubiquity/business-development/issues/196
3988	state	https://github.com/ubiquity/business-development/issues/183
3989	state	https://github.com/ubiquity/business-development/issues/90
3990	state	https://github.com/ubiquity/business-development/issues/89
3991	state	https://github.com/ubiquity/business-development/issues/155
3992	state	https://github.com/ubiquity/business-development/issues/185
3993	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/23
3994	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/55
3995	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/74
3996	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/78
3997	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/81
3998	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/92
3999	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/93
4000	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/94
4001	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/108
4002	state	https://github.com/ubiquity-os/.github/issues/10
4003	state	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/111
4004	state	https://github.com/ubiquity/permit3/issues/2
4005	state	https://github.com/ubiquity/ubiquity-dollar/issues/997
4006	state	https://github.com/ubiquity/ubiquity-dollar/issues/992
4007	state	https://github.com/ubiquity/ubiquity-dollar/issues/995
4008	state	https://github.com/ubiquity/pay.ubq.fi/issues/425
4009	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/292
4010	state	https://github.com/ubiquity/pay.ubq.fi/issues/413
4011	state	https://github.com/ubiquity/pay.ubq.fi/issues/409
4012	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/261
4013	state	https://github.com/ubiquity/pay.ubq.fi/issues/438
4014	state	https://github.com/ubiquity-os/ubiquity-os-kernel/issues/267
4015	state	https://github.com/ubiquity/pay.ubq.fi/issues/433
4016	state	https://github.com/ubiquity/notifications.ubq.fi/issues/9
4017	state	https://github.com/ubiquity/pay.ubq.fi/issues/436
4018	state	https://github.com/ubiquity/notifications.ubq.fi/issues/8
4019	state	https://github.com/ubiquity/pay.ubq.fi/issues/432
4020	state	https://github.com/ubiquity/pay.ubq.fi/issues/431
4021	state	https://github.com/ubiquity/pay.ubq.fi/issues/437
4022	state	https://github.com/ubiquity/pay.ubq.fi/issues/430
4023	state	https://github.com/ubiquity-os/ubiquity-os-plugin-installer/issues/43
4024	state	https://github.com/ubiquity/cloudflare-deploy-action/issues/14
4025	state	https://github.com/ubiquity/pay.ubq.fi/issues/429
4026	state	https://github.com/ubiquity/arbitrage-bot/issues/7
4027	state	https://github.com/ubiquity/pay.ubq.fi/issues/428
4028	state	https://github.com/ubiquity/arbitrage-bot/issues/3
4029	state	https://github.com/ubiquity/pay.ubq.fi/issues/427
4030	state	https://github.com/ubiquity/pay.ubq.fi/issues/426
4031	state	https://github.com/ubiquity/stake.ubq.fi/issues/9
4032	state	https://github.com/ubiquity/pay.ubq.fi/issues/386
4033	state	https://github.com/ubiquity/uusd.ubq.fi/issues/28
4034	state	https://github.com/ubiquity/stake.ubq.fi/issues/5
4035	state	https://github.com/ubiquity/pay.ubq.fi/issues/424
4036	state	https://github.com/ubiquity/stake.ubq.fi/issues/7
4037	state	https://github.com/ubiquity/stake.ubq.fi/issues/8
4038	state	https://github.com/ubiquity/.github/issues/123
4039	state	https://github.com/ubiquity/pay.ubq.fi/issues/402
4040	state	https://github.com/ubiquity/uusd.ubq.fi/issues/24
4041	state	https://github.com/ubiquity/stake.ubq.fi/issues/6
4042	state	https://github.com/ubiquity/.github/issues/124
4043	state	https://github.com/ubiquity/stake.ubq.fi/issues/4
4044	state	https://github.com/ubiquity-os/deno-deploy/issues/10
4045	state	https://github.com/ubiquity/stake.ubq.fi/issues/3
4239	reason	https://github.com/ubiquity-os-marketplace/.github/issues/5
4278	reason	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/138
4279	reason	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/135
4294	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/62
4295	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/70
4296	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/60
4298	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/55
4300	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/47
4301	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/51
4302	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/8
4303	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/27
4304	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/2
4305	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/6
4306	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/32
4307	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/42
4308	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/26
4309	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/12
4310	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/14
4311	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/22
4312	labels	https://github.com/ubiquity-os-marketplace/command-start-stop/issues/4
4313	labels	https://github.com/ubiquity-os-marketplace/command-wallet/issues/61
4348	labels	https://github.com/ubiquity-os-marketplace/daemon-merging/issues/37
4349	labels	https://github.com/ubiquity-os-marketplace/daemon-merging/issues/22
4351	labels	https://github.com/ubiquity-os-marketplace/daemon-merging/issues/2
4352	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/131
4353	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/125
4354	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/100
4355	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/126
4357	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/81
4358	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/40
4359	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/96
4360	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/91
4361	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/64
4362	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/79
4363	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/69
4364	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/62
4365	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/63
4366	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/32
4367	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/47
4368	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/39
4369	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/45
4370	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/34
4371	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/33
4372	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/8
4373	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/5
4374	labels	https://github.com/ubiquity-os-marketplace/daemon-pricing/issues/2
4375	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/37
4376	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/23
4377	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/30
4378	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/19
4379	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/22
4380	reason	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/21
4381	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/18
4382	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/11
4383	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/7
4384	reason	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/16
4385	reason	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/12
4386	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/4
4388	labels	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/5
4389	reason	https://github.com/ubiquity-os-marketplace/daemon-pull-review/issues/9
4390	labels	https://github.com/ubiquity-os-marketplace/daemon-spec-rewriter/issues/6
4391	labels	https://github.com/ubiquity-os-marketplace/personal-agent/issues/7
4392	labels	https://github.com/ubiquity-os-marketplace/personal-agent-bridge/issues/15
4393	labels	https://github.com/ubiquity-os-marketplace/personal-agent-bridge/issues/5
4394	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/357
4395	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/410
4396	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/431
4397	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/429
4398	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/353
4399	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/418
4400	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/419
4401	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/269
4402	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/415
4403	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/392
4404	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/402
4405	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/398
4406	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/155
4407	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/219
4408	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/397
4409	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/26
4410	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/395
4411	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/383
4412	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/371
4413	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/294
4431	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/279
4432	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/300
4433	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/313
4434	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/298
4435	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/276
4436	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/292
4437	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/270
4438	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/284
4439	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/208
4440	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/275
4441	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/230
4442	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/262
4443	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/256
4444	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/249
4445	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/236
4446	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/187
4447	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/46
4448	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/247
4449	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/174
4450	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/233
4452	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/185
4453	labels	https://github.com/ubiquity-os-marketplace/text-conversation-rewards/issues/207
4454	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/98
4455	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/103
4456	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/58
4457	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/15
4458	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/95
4459	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/87
4460	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/67
4461	reason	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/57
4462	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/79
4463	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/27
4464	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/82
4465	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/72
4466	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/68
4468	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/56
4469	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/60
4470	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/45
4472	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/40
4474	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/36
4475	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/34
4477	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/25
4479	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/7
4480	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/6
4481	labels	https://github.com/ubiquity-os-marketplace/text-vector-embeddings/issues/8
4482	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/20
4484	reason	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/24
4485	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/32
4486	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/1
4488	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/4
4489	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/13
4491	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/6
4493	labels	https://github.com/ubiquity-os-marketplace/ubiquity-os-kernel-telegram/issues/10
4494	labels	https://github.com/ubiquity-os/.github/issues/9
4495	labels	https://github.com/ubiquity-os/.github/issues/1
4496	labels	https://github.com/ubiquity-os/.github/issues/2
4497	labels	https://github.com/ubiquity-os/action-deploy-plugin/issues/21
4498	labels	https://github.com/ubiquity-os/action-deploy-plugin/issues/17
4499	labels	https://github.com/ubiquity-os/action-deploy-plugin/issues/7
4500	labels	https://github.com/ubiquity-os/action-deploy-plugin/issues/3
4501	labels	https://github.com/ubiquity-os/action-deploy-plugin/issues/5
4502	labels	https://github.com/ubiquity-os/claude-code-action/issues/3
4503	labels	https://github.com/ubiquity-os/configuration-loader/issues/16
4504	labels	https://github.com/ubiquity-os/configuration-loader/issues/13
4505	labels	https://github.com/ubiquity-os/configuration-loader/issues/8
4506	labels	https://github.com/ubiquity-os/configuration-loader/issues/6
4507	labels	https://github.com/ubiquity-os/configuration-loader/issues/3
4508	labels	https://github.com/ubiquity-os/configuration-loader/issues/1
4509	labels	https://github.com/ubiquity-os/deno-deploy/issues/5
4510	labels	https://github.com/ubiquity-os/deno-plugin-adapter/issues/4
4511	labels	https://github.com/ubiquity-os/empty-string-checker/issues/2
4512	labels	https://github.com/ubiquity-os/pending-rewards/issues/12
4513	labels	https://github.com/ubiquity-os/permit-generation/issues/109
4535	labels	https://github.com/ubiquity-os/plugin-sdk/issues/41
4536	labels	https://github.com/ubiquity-os/plugin-sdk/issues/36
4537	labels	https://github.com/ondecentral/Lucia-Browser-SDK/issues/17
4538	labels	https://github.com/ubiquity-os/plugin-template/issues/50
4539	labels	https://github.com/ubiquity-os/plugin-template/issues/42
4540	labels	https://github.com/ubiquity-os/plugin-template/issues/40
4541	labels	https://github.com/ubiquity-os/plugin-template/issues/34
4542	labels	https://github.com/ubiquity-os/plugin-template/issues/37
4543	labels	https://github.com/ubiquity-os/plugin-template/issues/33
4544	labels	https://github.com/ubiquity-os/plugin-template/issues/18
4545	labels	https://github.com/ubiquity-os/plugin-template/issues/19
